time,value
2024-01-05 14:26:00,78
2024-01-05 14:26:01,78
2024-01-05 14:26:02,78
2024-01-05 14:26:03,78
2024-01-05 14:26:04,78
2024-01-05 14:26:05,78
2024-01-05 14:26:06,78
2024-01-05 14:26:07,79
2024-01-05 14:26:08,79
2024-01-05 14:26:09,79
2024-01-05 14:26:10,79
2024-01-05 14:26:11,79
2024-01-05 14:26:12,79
2024-01-05 14:26:13,79
2024-01-05 14:26:14,79
2024-01-05 14:26:15,79
2024-01-05 14:26:16,79
2024-01-05 14:26:17,80
2024-01-05 14:26:18,80
2024-01-05 14:26:19,80
2024-01-05 14:26:20,80
2024-01-05 14:26:21,80
2024-01-05 14:26:22,81
2024-01-05 14:26:23,81
2024-01-05 14:26:24,81
2024-01-05 14:26:25,81
2024-01-05 14:26:26,81
2024-01-05 14:26:27,82
2024-01-05 14:26:28,82
2024-01-05 14:26:29,82
2024-01-05 14:26:30,82
2024-01-05 14:26:31,82
2024-01-05 14:26:32,84
2024-01-05 14:26:33,84
2024-01-05 14:26:34,84
2024-01-05 14:26:35,84
2024-01-05 14:26:36,84
2024-01-05 14:26:37,82
2024-01-05 14:26:38,82
2024-01-05 14:26:39,82
2024-01-05 14:26:40,82
2024-01-05 14:26:41,82
2024-01-05 14:26:42,82
2024-01-05 14:26:43,82
2024-01-05 14:26:44,82
2024-01-05 14:26:45,82
2024-01-05 14:26:46,82
2024-01-05 14:26:47,82
2024-01-05 14:26:48,82
2024-01-05 14:26:49,82
2024-01-05 14:26:50,82
2024-01-05 14:26:51,82
2024-01-05 14:26:52,82
2024-01-05 14:26:53,82
2024-01-05 14:26:54,82
2024-01-05 14:26:55,82
2024-01-05 14:26:56,82
2024-01-05 14:26:57,83
2024-01-05 14:26:58,83
2024-01-05 14:26:59,83
2024-01-05 14:27:00,83
2024-01-05 14:27:01,83
2024-01-05 14:27:02,83
2024-01-05 14:27:03,83
2024-01-05 14:27:04,83
2024-01-05 14:27:05,83
2024-01-05 14:27:06,83
2024-01-05 14:27:07,80
2024-01-05 14:27:08,80
2024-01-05 14:27:09,80
2024-01-05 14:27:10,80
2024-01-05 14:27:11,80
2024-01-05 14:27:12,79
2024-01-05 14:27:13,79
2024-01-05 14:27:14,79
2024-01-05 14:27:15,79
2024-01-05 14:27:16,79
2024-01-05 14:27:17,79
2024-01-05 14:27:18,79
2024-01-05 14:27:19,79
2024-01-05 14:27:20,79
2024-01-05 14:27:21,79
2024-01-05 14:27:22,79
2024-01-05 14:27:23,79
2024-01-05 14:27:24,79
2024-01-05 14:27:25,79
2024-01-05 14:27:26,79
2024-01-05 14:27:27,80
2024-01-05 14:27:28,80
2024-01-05 14:27:29,80
2024-01-05 14:27:30,80
2024-01-05 14:27:31,80
2024-01-05 14:27:32,80
2024-01-05 14:27:33,80
2024-01-05 14:27:34,80
2024-01-05 14:27:35,80
2024-01-05 14:27:36,80
