time,value
2024-01-05 14:17:00,83
2024-01-05 14:17:01,83
2024-01-05 14:17:02,84
2024-01-05 14:17:03,84
2024-01-05 14:17:04,84
2024-01-05 14:17:05,84
2024-01-05 14:17:06,84
2024-01-05 14:17:07,84
2024-01-05 14:17:08,84
2024-01-05 14:17:09,84
2024-01-05 14:17:10,84
2024-01-05 14:17:11,84
2024-01-05 14:17:12,84
2024-01-05 14:17:13,84
2024-01-05 14:17:14,84
2024-01-05 14:17:15,84
2024-01-05 14:17:16,84
2024-01-05 14:17:17,86
2024-01-05 14:17:18,86
2024-01-05 14:17:19,86
2024-01-05 14:17:20,86
2024-01-05 14:17:21,86
2024-01-05 14:17:22,87
2024-01-05 14:17:23,87
2024-01-05 14:17:24,87
2024-01-05 14:17:25,87
2024-01-05 14:17:26,87
2024-01-05 14:17:27,88
2024-01-05 14:17:28,88
2024-01-05 14:17:29,88
2024-01-05 14:17:30,88
2024-01-05 14:17:31,88
2024-01-05 14:17:32,89
2024-01-05 14:17:33,89
2024-01-05 14:17:34,89
2024-01-05 14:17:35,89
2024-01-05 14:17:36,89
2024-01-05 14:17:37,90
2024-01-05 14:17:38,90
2024-01-05 14:17:39,90
2024-01-05 14:17:40,90
2024-01-05 14:17:41,90
2024-01-05 14:17:42,91
2024-01-05 14:17:43,91
2024-01-05 14:17:44,91
2024-01-05 14:17:45,91
2024-01-05 14:17:46,91
2024-01-05 14:17:47,91
2024-01-05 14:17:48,91
2024-01-05 14:17:49,91
2024-01-05 14:17:50,91
2024-01-05 14:17:51,91
2024-01-05 14:17:52,91
2024-01-05 14:17:53,91
2024-01-05 14:17:54,91
2024-01-05 14:17:55,91
2024-01-05 14:17:56,91
2024-01-05 14:17:57,91
2024-01-05 14:17:58,91
2024-01-05 14:17:59,91
2024-01-05 14:18:00,91
2024-01-05 14:18:01,91
2024-01-05 14:18:02,91
2024-01-05 14:18:03,91
2024-01-05 14:18:04,91
2024-01-05 14:18:05,91
2024-01-05 14:18:06,91
2024-01-05 14:18:07,90
2024-01-05 14:18:08,90
2024-01-05 14:18:09,90
2024-01-05 14:18:10,90
2024-01-05 14:18:11,90
2024-01-05 14:18:12,90
2024-01-05 14:18:13,90
2024-01-05 14:18:14,90
2024-01-05 14:18:15,90
2024-01-05 14:18:16,90
2024-01-05 14:18:17,90
2024-01-05 14:18:18,90
2024-01-05 14:18:19,90
2024-01-05 14:18:20,90
2024-01-05 14:18:21,90
2024-01-05 14:18:22,91
2024-01-05 14:18:23,91
2024-01-05 14:18:24,91
2024-01-05 14:18:25,91
2024-01-05 14:18:26,91
2024-01-05 14:18:27,92
2024-01-05 14:18:28,92
2024-01-05 14:18:29,92
2024-01-05 14:18:30,92
2024-01-05 14:18:31,92
2024-01-05 14:18:32,93
2024-01-05 14:18:33,93
2024-01-05 14:18:34,93
2024-01-05 14:18:35,93
2024-01-05 14:18:36,93
2024-01-05 14:18:37,93
2024-01-05 14:18:38,93
2024-01-05 14:18:39,93
2024-01-05 14:18:40,93
2024-01-05 14:18:41,93
2024-01-05 14:18:42,94
2024-01-05 14:18:43,94
2024-01-05 14:18:44,94
2024-01-05 14:18:45,94
2024-01-05 14:18:46,94
2024-01-05 14:18:47,94
2024-01-05 14:18:48,94
2024-01-05 14:18:49,94
2024-01-05 14:18:50,94
2024-01-05 14:18:51,94
2024-01-05 14:18:52,93
2024-01-05 14:18:53,93
2024-01-05 14:18:54,93
2024-01-05 14:18:55,93
2024-01-05 14:18:56,93
2024-01-05 14:18:57,93
2024-01-05 14:18:58,93
2024-01-05 14:18:59,93
2024-01-05 14:19:00,93
2024-01-05 14:19:01,93
2024-01-05 14:19:02,92
2024-01-05 14:19:03,92
2024-01-05 14:19:04,92
2024-01-05 14:19:05,92
2024-01-05 14:19:06,92
2024-01-05 14:19:07,90
2024-01-05 14:19:08,90
2024-01-05 14:19:09,90
2024-01-05 14:19:10,90
2024-01-05 14:19:11,90
2024-01-05 14:19:12,90
2024-01-05 14:19:13,90
2024-01-05 14:19:14,90
2024-01-05 14:19:15,90
2024-01-05 14:19:16,90
2024-01-05 14:19:17,89
2024-01-05 14:19:18,89
2024-01-05 14:19:19,89
2024-01-05 14:19:20,89
2024-01-05 14:19:21,89
2024-01-05 14:19:22,89
2024-01-05 14:19:23,89
2024-01-05 14:19:24,89
2024-01-05 14:19:25,89
2024-01-05 14:19:26,89
2024-01-05 14:19:27,88
2024-01-05 14:19:28,88
2024-01-05 14:19:29,88
2024-01-05 14:19:30,88
2024-01-05 14:19:31,88
2024-01-05 14:19:32,88
2024-01-05 14:19:33,88
2024-01-05 14:19:34,88
2024-01-05 14:19:35,88
2024-01-05 14:19:36,88
2024-01-05 14:19:37,88
2024-01-05 14:19:38,88
2024-01-05 14:19:39,88
2024-01-05 14:19:40,88
2024-01-05 14:19:41,88
2024-01-05 14:19:42,91
2024-01-05 14:19:43,91
2024-01-05 14:19:44,91
2024-01-05 14:19:45,91
2024-01-05 14:19:46,91
2024-01-05 14:19:47,89
2024-01-05 14:19:48,89
2024-01-05 14:19:49,89
2024-01-05 14:19:50,89
2024-01-05 14:19:51,89
2024-01-05 14:19:52,83
2024-01-05 14:19:53,83
2024-01-05 14:19:54,83
2024-01-05 14:19:55,83
2024-01-05 14:19:56,83
2024-01-05 14:19:57,82
2024-01-05 14:19:58,82
2024-01-05 14:19:59,82
2024-01-05 14:20:00,82
2024-01-05 14:20:01,82
2024-01-05 14:20:02,82
2024-01-05 14:20:03,82
2024-01-05 14:20:04,82
2024-01-05 14:20:05,82
2024-01-05 14:20:06,82
2024-01-05 14:20:07,83
2024-01-05 14:20:08,83
2024-01-05 14:20:09,83
2024-01-05 14:20:10,83
2024-01-05 14:20:11,83
2024-01-05 14:20:12,84
2024-01-05 14:20:13,84
2024-01-05 14:20:14,84
2024-01-05 14:20:15,84
2024-01-05 14:20:16,84
2024-01-05 14:20:17,85
2024-01-05 14:20:18,85
2024-01-05 14:20:19,85
2024-01-05 14:20:20,85
2024-01-05 14:20:21,85
2024-01-05 14:20:22,86
2024-01-05 14:20:23,86
2024-01-05 14:20:24,86
2024-01-05 14:20:25,86
2024-01-05 14:20:26,86
2024-01-05 14:20:27,87
2024-01-05 14:20:28,87
2024-01-05 14:20:29,87
2024-01-05 14:20:30,87
2024-01-05 14:20:31,87
2024-01-05 14:20:32,88
