time,value
2024-01-05 14:31:00,88
2024-01-05 14:31:01,88
2024-01-05 14:31:02,86
2024-01-05 14:31:03,86
2024-01-05 14:31:04,86
2024-01-05 14:31:05,86
2024-01-05 14:31:06,86
2024-01-05 14:31:07,86
2024-01-05 14:31:08,86
2024-01-05 14:31:09,86
2024-01-05 14:31:10,86
2024-01-05 14:31:11,86
2024-01-05 14:31:12,87
2024-01-05 14:31:13,87
2024-01-05 14:31:14,87
2024-01-05 14:31:15,87
2024-01-05 14:31:16,87
2024-01-05 14:31:17,86
2024-01-05 14:31:18,86
2024-01-05 14:31:19,86
2024-01-05 14:31:20,86
2024-01-05 14:31:21,86
2024-01-05 14:31:22,84
2024-01-05 14:31:23,84
2024-01-05 14:31:24,84
2024-01-05 14:31:25,84
2024-01-05 14:31:26,84
2024-01-05 14:31:27,80
2024-01-05 14:31:28,80
2024-01-05 14:31:29,80
2024-01-05 14:31:30,80
2024-01-05 14:31:31,80
2024-01-05 14:31:32,80
2024-01-05 14:31:33,80
2024-01-05 14:31:34,80
2024-01-05 14:31:35,80
2024-01-05 14:31:36,80
2024-01-05 14:31:37,81
2024-01-05 14:31:38,81
2024-01-05 14:31:39,81
2024-01-05 14:31:40,81
2024-01-05 14:31:41,81
2024-01-05 14:31:42,82
2024-01-05 14:31:43,82
2024-01-05 14:31:44,82
2024-01-05 14:31:45,82
2024-01-05 14:31:46,82
2024-01-05 14:31:47,83
2024-01-05 14:31:48,83
2024-01-05 14:31:49,83
2024-01-05 14:31:50,83
2024-01-05 14:31:51,83
2024-01-05 14:31:52,82
2024-01-05 14:31:53,82
2024-01-05 14:31:54,82
2024-01-05 14:31:55,82
2024-01-05 14:31:56,82
2024-01-05 14:31:57,81
2024-01-05 14:31:58,81
2024-01-05 14:31:59,81
2024-01-05 14:32:00,81
2024-01-05 14:32:01,81
2024-01-05 14:32:02,80
2024-01-05 14:32:03,80
2024-01-05 14:32:04,80
2024-01-05 14:32:05,80
2024-01-05 14:32:06,80
2024-01-05 14:32:07,80
2024-01-05 14:32:08,80
2024-01-05 14:32:09,80
2024-01-05 14:32:10,80
2024-01-05 14:32:11,80
2024-01-05 14:32:12,79
2024-01-05 14:32:13,79
2024-01-05 14:32:14,79
2024-01-05 14:32:15,79
2024-01-05 14:32:16,79
2024-01-05 14:32:17,79
2024-01-05 14:32:18,78
2024-01-05 14:32:19,78
2024-01-05 14:32:20,78
2024-01-05 14:32:21,78
2024-01-05 14:32:22,78
2024-01-05 14:32:23,77
2024-01-05 14:32:24,77
2024-01-05 14:32:25,77
2024-01-05 14:32:26,77
2024-01-05 14:32:27,77
2024-01-05 14:32:28,78
2024-01-05 14:32:29,78
2024-01-05 14:32:30,78
2024-01-05 14:32:31,78
2024-01-05 14:32:32,78
2024-01-05 14:32:33,78
2024-01-05 14:32:34,78
2024-01-05 14:32:35,78
2024-01-05 14:32:36,78
2024-01-05 14:32:37,78
2024-01-05 14:32:38,78
2024-01-05 14:32:39,78
2024-01-05 14:32:40,78
2024-01-05 14:32:41,78
2024-01-05 14:32:42,78
2024-01-05 14:32:43,78
2024-01-05 14:32:44,78
2024-01-05 14:32:45,78
2024-01-05 14:32:46,78
2024-01-05 14:32:47,78
2024-01-05 14:32:48,79
2024-01-05 14:32:49,79
2024-01-05 14:32:50,79
2024-01-05 14:32:51,79
2024-01-05 14:32:52,79
2024-01-05 14:32:53,80
2024-01-05 14:32:54,80
2024-01-05 14:32:55,80
2024-01-05 14:32:56,80
2024-01-05 14:32:57,80
2024-01-05 14:32:58,82
2024-01-05 14:32:59,82
2024-01-05 14:33:00,82
2024-01-05 14:33:01,82
2024-01-05 14:33:02,82
2024-01-05 14:33:03,83
2024-01-05 14:33:04,83
2024-01-05 14:33:05,83
2024-01-05 14:33:06,83
2024-01-05 14:33:07,83
2024-01-05 14:33:08,84
2024-01-05 14:33:09,84
2024-01-05 14:33:10,84
2024-01-05 14:33:11,84
2024-01-05 14:33:12,84
2024-01-05 14:33:13,84
2024-01-05 14:33:14,84
2024-01-05 14:33:15,84
2024-01-05 14:33:16,84
2024-01-05 14:33:17,84
2024-01-05 14:33:18,83
2024-01-05 14:33:19,83
2024-01-05 14:33:20,83
2024-01-05 14:33:21,83
2024-01-05 14:33:22,83
2024-01-05 14:33:23,82
2024-01-05 14:33:24,82
2024-01-05 14:33:25,82
2024-01-05 14:33:26,82
2024-01-05 14:33:27,82
2024-01-05 14:33:28,82
2024-01-05 14:33:29,82
2024-01-05 14:33:30,82
2024-01-05 14:33:31,82
2024-01-05 14:33:32,82
2024-01-05 14:33:33,81
2024-01-05 14:33:34,81
2024-01-05 14:33:35,81
2024-01-05 14:33:36,81
2024-01-05 14:33:37,81
2024-01-05 14:33:38,81
2024-01-05 14:33:39,81
2024-01-05 14:33:40,81
2024-01-05 14:33:41,81
2024-01-05 14:33:42,81
2024-01-05 14:33:43,80
2024-01-05 14:33:44,80
2024-01-05 14:33:45,80
2024-01-05 14:33:46,80
2024-01-05 14:33:47,80
2024-01-05 14:33:48,80
2024-01-05 14:33:49,80
2024-01-05 14:33:50,80
2024-01-05 14:33:51,80
2024-01-05 14:33:52,80
2024-01-05 14:33:53,81
2024-01-05 14:33:54,81
2024-01-05 14:33:55,81
2024-01-05 14:33:56,81
2024-01-05 14:33:57,81
2024-01-05 14:33:58,81
2024-01-05 14:33:59,81
