time,value
2024-01-05 14:03:00,91
2024-01-05 14:03:01,91
2024-01-05 14:03:02,91
2024-01-05 14:03:03,91
2024-01-05 14:03:04,91
2024-01-05 14:03:05,89
2024-01-05 14:03:06,89
2024-01-05 14:03:07,89
2024-01-05 14:03:08,89
2024-01-05 14:03:09,89
2024-01-05 14:03:10,89
2024-01-05 14:03:11,89
2024-01-05 14:03:12,89
2024-01-05 14:03:13,89
2024-01-05 14:03:14,89
2024-01-05 14:03:15,86
2024-01-05 14:03:16,86
2024-01-05 14:03:17,86
2024-01-05 14:03:18,86
2024-01-05 14:03:19,86
2024-01-05 14:03:20,84
2024-01-05 14:03:21,84
2024-01-05 14:03:22,84
2024-01-05 14:03:23,84
2024-01-05 14:03:24,84
2024-01-05 14:03:25,84
2024-01-05 14:03:26,84
2024-01-05 14:03:27,84
2024-01-05 14:03:28,84
2024-01-05 14:03:29,84
2024-01-05 14:03:30,85
2024-01-05 14:03:31,85
2024-01-05 14:03:32,85
2024-01-05 14:03:33,85
2024-01-05 14:03:34,85
2024-01-05 14:03:35,85
2024-01-05 14:03:36,85
2024-01-05 14:03:37,85
2024-01-05 14:03:38,85
2024-01-05 14:03:39,85
2024-01-05 14:03:40,85
2024-01-05 14:03:41,85
2024-01-05 14:03:42,85
2024-01-05 14:03:43,85
2024-01-05 14:03:44,85
2024-01-05 14:03:45,86
2024-01-05 14:03:46,86
2024-01-05 14:03:47,86
2024-01-05 14:03:48,86
2024-01-05 14:03:49,86
2024-01-05 14:03:50,89
2024-01-05 14:03:51,89
2024-01-05 14:03:52,89
2024-01-05 14:03:53,89
2024-01-05 14:03:54,89
2024-01-05 14:03:55,89
2024-01-05 14:03:56,89
2024-01-05 14:03:57,89
2024-01-05 14:03:58,89
2024-01-05 14:03:59,89
2024-01-05 14:04:00,88
2024-01-05 14:04:01,88
2024-01-05 14:04:02,88
2024-01-05 14:04:03,88
2024-01-05 14:04:04,88
2024-01-05 14:04:05,87
2024-01-05 14:04:06,87
2024-01-05 14:04:07,87
2024-01-05 14:04:08,87
2024-01-05 14:04:09,87
2024-01-05 14:04:10,88
2024-01-05 14:04:11,88
2024-01-05 14:04:12,88
2024-01-05 14:04:13,88
2024-01-05 14:04:14,88
2024-01-05 14:04:15,89
2024-01-05 14:04:16,89
2024-01-05 14:04:17,89
2024-01-05 14:04:18,89
2024-01-05 14:04:19,89
2024-01-05 14:04:20,89
2024-01-05 14:04:21,89
2024-01-05 14:04:22,89
2024-01-05 14:04:23,89
2024-01-05 14:04:24,89
2024-01-05 14:04:25,89
2024-01-05 14:04:26,89
2024-01-05 14:04:27,89
2024-01-05 14:04:28,89
2024-01-05 14:04:29,89
2024-01-05 14:04:30,88
2024-01-05 14:04:31,88
2024-01-05 14:04:32,88
2024-01-05 14:04:33,88
2024-01-05 14:04:34,88
2024-01-05 14:04:35,87
2024-01-05 14:04:36,87
2024-01-05 14:04:37,87
2024-01-05 14:04:38,87
2024-01-05 14:04:39,87
2024-01-05 14:04:40,87
2024-01-05 14:04:41,87
2024-01-05 14:04:42,87
2024-01-05 14:04:43,87
2024-01-05 14:04:44,87
2024-01-05 14:04:45,87
2024-01-05 14:04:46,87
2024-01-05 14:04:47,87
2024-01-05 14:04:48,87
2024-01-05 14:04:49,87
2024-01-05 14:04:50,86
2024-01-05 14:04:51,86
2024-01-05 14:04:52,86
2024-01-05 14:04:53,86
2024-01-05 14:04:54,86
2024-01-05 14:04:55,86
2024-01-05 14:04:56,86
2024-01-05 14:04:57,86
2024-01-05 14:04:58,86
2024-01-05 14:04:59,86
2024-01-05 14:05:00,86
2024-01-05 14:05:01,86
