time,value
2024-01-05 13:49:00,95
2024-01-05 13:49:01,94
2024-01-05 13:49:02,94
2024-01-05 13:49:03,94
2024-01-05 13:49:04,94
2024-01-05 13:49:05,94
2024-01-05 13:49:06,95
2024-01-05 13:49:07,95
2024-01-05 13:49:08,95
2024-01-05 13:49:09,95
2024-01-05 13:49:10,95
2024-01-05 13:49:11,95
2024-01-05 13:49:12,95
2024-01-05 13:49:13,95
2024-01-05 13:49:14,95
2024-01-05 13:49:15,95
2024-01-05 13:49:16,95
2024-01-05 13:49:17,95
2024-01-05 13:49:18,95
2024-01-05 13:49:19,95
2024-01-05 13:49:20,95
2024-01-05 13:49:21,95
2024-01-05 13:49:22,95
2024-01-05 13:49:23,95
2024-01-05 13:49:24,95
2024-01-05 13:49:25,95
2024-01-05 13:49:26,94
2024-01-05 13:49:27,94
2024-01-05 13:49:28,94
2024-01-05 13:49:29,94
2024-01-05 13:49:30,94
2024-01-05 13:49:31,92
2024-01-05 13:49:32,92
2024-01-05 13:49:33,92
2024-01-05 13:49:34,92
2024-01-05 13:49:35,92
2024-01-05 13:49:36,92
2024-01-05 13:49:37,92
2024-01-05 13:49:38,92
2024-01-05 13:49:39,92
2024-01-05 13:49:40,92
2024-01-05 13:49:41,92
2024-01-05 13:49:42,92
2024-01-05 13:49:43,92
2024-01-05 13:49:44,92
2024-01-05 13:49:45,92
2024-01-05 13:49:46,91
2024-01-05 13:49:47,91
2024-01-05 13:49:48,91
2024-01-05 13:49:49,91
2024-01-05 13:49:50,91
2024-01-05 13:49:51,91
2024-01-05 13:49:52,91
2024-01-05 13:49:53,91
2024-01-05 13:49:54,91
2024-01-05 13:49:55,91
2024-01-05 13:49:56,91
2024-01-05 13:49:57,91
2024-01-05 13:49:58,91
2024-01-05 13:49:59,91
2024-01-05 13:50:00,91
2024-01-05 13:50:01,91
2024-01-05 13:50:02,91
2024-01-05 13:50:03,91
2024-01-05 13:50:04,91
2024-01-05 13:50:05,91
2024-01-05 13:50:06,90
2024-01-05 13:50:07,90
2024-01-05 13:50:08,90
2024-01-05 13:50:09,90
2024-01-05 13:50:10,90
2024-01-05 13:50:11,90
2024-01-05 13:50:12,90
2024-01-05 13:50:13,90
2024-01-05 13:50:14,90
2024-01-05 13:50:15,90
2024-01-05 13:50:16,90
2024-01-05 13:50:17,90
2024-01-05 13:50:18,90
2024-01-05 13:50:19,90
2024-01-05 13:50:20,90
2024-01-05 13:50:21,91
2024-01-05 13:50:22,91
2024-01-05 13:50:23,91
2024-01-05 13:50:24,91
2024-01-05 13:50:25,91
2024-01-05 13:50:26,91
2024-01-05 13:50:27,91
2024-01-05 13:50:28,91
2024-01-05 13:50:29,91
2024-01-05 13:50:30,91
2024-01-05 13:50:31,92
2024-01-05 13:50:32,92
2024-01-05 13:50:33,92
2024-01-05 13:50:34,92
2024-01-05 13:50:35,92
2024-01-05 13:50:36,91
2024-01-05 13:50:37,91
2024-01-05 13:50:38,91
2024-01-05 13:50:39,91
2024-01-05 13:50:40,91
2024-01-05 13:50:41,93
2024-01-05 13:50:42,93
2024-01-05 13:50:43,93
2024-01-05 13:50:44,93
2024-01-05 13:50:45,93
2024-01-05 13:50:46,94
2024-01-05 13:50:47,94
2024-01-05 13:50:48,94
2024-01-05 13:50:49,94
2024-01-05 13:50:50,94
2024-01-05 13:50:51,92
2024-01-05 13:50:52,92
2024-01-05 13:50:53,92
2024-01-05 13:50:54,92
2024-01-05 13:50:55,92
2024-01-05 13:50:56,92
2024-01-05 13:50:57,92
2024-01-05 13:50:58,92
2024-01-05 13:50:59,92
2024-01-05 13:51:00,92
2024-01-05 13:51:01,92
2024-01-05 13:51:02,92
2024-01-05 13:51:03,92
2024-01-05 13:51:04,92
2024-01-05 13:51:05,92
2024-01-05 13:51:06,91
2024-01-05 13:51:07,91
2024-01-05 13:51:08,91
2024-01-05 13:51:09,91
2024-01-05 13:51:10,91
2024-01-05 13:51:11,92
2024-01-05 13:51:12,92
2024-01-05 13:51:13,92
2024-01-05 13:51:14,92
2024-01-05 13:51:15,92
2024-01-05 13:51:16,92
2024-01-05 13:51:17,92
2024-01-05 13:51:18,92
2024-01-05 13:51:19,92
2024-01-05 13:51:20,92
2024-01-05 13:51:21,93
2024-01-05 13:51:22,93
2024-01-05 13:51:23,93
2024-01-05 13:51:24,93
2024-01-05 13:51:25,93
2024-01-05 13:51:26,95
2024-01-05 13:51:27,95
2024-01-05 13:51:28,95
2024-01-05 13:51:29,95
2024-01-05 13:51:30,95
2024-01-05 13:51:31,95
2024-01-05 13:51:32,95
2024-01-05 13:51:33,95
2024-01-05 13:51:34,95
2024-01-05 13:51:35,95
2024-01-05 13:51:36,96
2024-01-05 13:51:37,96
2024-01-05 13:51:38,96
2024-01-05 13:51:39,96
2024-01-05 13:51:40,96
2024-01-05 13:51:41,98
2024-01-05 13:51:42,98
2024-01-05 13:51:43,98
2024-01-05 13:51:44,98
2024-01-05 13:51:45,98
2024-01-05 13:51:46,98
2024-01-05 13:51:47,98
2024-01-05 13:51:48,98
2024-01-05 13:51:49,98
2024-01-05 13:51:50,98
2024-01-05 13:51:51,97
2024-01-05 13:51:52,97
2024-01-05 13:51:53,97
2024-01-05 13:51:54,97
2024-01-05 13:51:55,97
2024-01-05 13:51:56,97
2024-01-05 13:51:57,97
2024-01-05 13:51:58,97
2024-01-05 13:51:59,97
2024-01-05 13:52:00,97
2024-01-05 13:52:01,97
2024-01-05 13:52:02,97
2024-01-05 13:52:03,97
2024-01-05 13:52:04,97
2024-01-05 13:52:05,97
2024-01-05 13:52:06,96
2024-01-05 13:52:07,96
2024-01-05 13:52:08,96
2024-01-05 13:52:09,96
2024-01-05 13:52:10,96
2024-01-05 13:52:11,94
2024-01-05 13:52:12,94
2024-01-05 13:52:13,94
2024-01-05 13:52:14,94
2024-01-05 13:52:15,94
2024-01-05 13:52:16,92
2024-01-05 13:52:17,92
2024-01-05 13:52:18,92
2024-01-05 13:52:19,92
2024-01-05 13:52:20,92
2024-01-05 13:52:21,91
2024-01-05 13:52:22,91
2024-01-05 13:52:23,91
2024-01-05 13:52:24,91
2024-01-05 13:52:25,91
2024-01-05 13:52:26,90
2024-01-05 13:52:27,90
2024-01-05 13:52:28,90
2024-01-05 13:52:29,90
2024-01-05 13:52:30,90
2024-01-05 13:52:31,90
2024-01-05 13:52:32,90
