time,value
2024-01-05 14:08:00,88
2024-01-05 14:08:01,88
2024-01-05 14:08:02,88
2024-01-05 14:08:03,88
2024-01-05 14:08:04,88
2024-01-05 14:08:05,88
2024-01-05 14:08:06,88
2024-01-05 14:08:07,88
2024-01-05 14:08:08,88
2024-01-05 14:08:09,88
2024-01-05 14:08:10,88
2024-01-05 14:08:11,88
2024-01-05 14:08:12,88
2024-01-05 14:08:13,88
2024-01-05 14:08:14,88
2024-01-05 14:08:15,89
2024-01-05 14:08:16,89
2024-01-05 14:08:17,89
2024-01-05 14:08:18,89
2024-01-05 14:08:19,89
2024-01-05 14:08:20,89
2024-01-05 14:08:21,89
2024-01-05 14:08:22,89
2024-01-05 14:08:23,89
2024-01-05 14:08:24,89
2024-01-05 14:08:25,90
2024-01-05 14:08:26,90
2024-01-05 14:08:27,90
2024-01-05 14:08:28,90
2024-01-05 14:08:29,90
2024-01-05 14:08:30,89
2024-01-05 14:08:31,89
2024-01-05 14:08:32,89
2024-01-05 14:08:33,89
2024-01-05 14:08:34,89
2024-01-05 14:08:35,89
2024-01-05 14:08:36,89
2024-01-05 14:08:37,89
2024-01-05 14:08:38,89
2024-01-05 14:08:39,89
2024-01-05 14:08:40,88
2024-01-05 14:08:41,88
2024-01-05 14:08:42,88
2024-01-05 14:08:43,88
2024-01-05 14:08:44,88
2024-01-05 14:08:45,88
2024-01-05 14:08:46,88
2024-01-05 14:08:47,88
2024-01-05 14:08:48,88
2024-01-05 14:08:49,88
2024-01-05 14:08:50,88
2024-01-05 14:08:51,88
2024-01-05 14:08:52,88
2024-01-05 14:08:53,88
2024-01-05 14:08:54,88
2024-01-05 14:08:55,88
2024-01-05 14:08:56,88
2024-01-05 14:08:57,88
2024-01-05 14:08:58,88
2024-01-05 14:08:59,88
2024-01-05 14:09:00,88
2024-01-05 14:09:01,88
2024-01-05 14:09:02,88
2024-01-05 14:09:03,88
2024-01-05 14:09:04,88
2024-01-05 14:09:05,89
2024-01-05 14:09:06,89
2024-01-05 14:09:07,89
2024-01-05 14:09:08,89
2024-01-05 14:09:09,89
2024-01-05 14:09:10,87
2024-01-05 14:09:11,87
2024-01-05 14:09:12,87
2024-01-05 14:09:13,87
2024-01-05 14:09:14,87
2024-01-05 14:09:15,87
2024-01-05 14:09:16,87
2024-01-05 14:09:17,87
2024-01-05 14:09:18,87
2024-01-05 14:09:19,87
2024-01-05 14:09:20,87
2024-01-05 14:09:21,87
2024-01-05 14:09:22,87
2024-01-05 14:09:23,87
2024-01-05 14:09:24,87
2024-01-05 14:09:25,87
2024-01-05 14:09:26,87
2024-01-05 14:09:27,87
2024-01-05 14:09:28,87
2024-01-05 14:09:29,87
2024-01-05 14:09:30,87
2024-01-05 14:09:31,87
2024-01-05 14:09:32,87
2024-01-05 14:09:33,87
2024-01-05 14:09:34,87
2024-01-05 14:09:35,86
2024-01-05 14:09:36,86
2024-01-05 14:09:37,86
2024-01-05 14:09:38,86
2024-01-05 14:09:39,86
2024-01-05 14:09:40,87
2024-01-05 14:09:41,87
2024-01-05 14:09:42,87
2024-01-05 14:09:43,87
2024-01-05 14:09:44,87
2024-01-05 14:09:45,90
2024-01-05 14:09:46,90
2024-01-05 14:09:47,90
2024-01-05 14:09:48,90
2024-01-05 14:09:49,90
2024-01-05 14:09:50,91
2024-01-05 14:09:51,91
2024-01-05 14:09:52,91
2024-01-05 14:09:53,91
2024-01-05 14:09:54,91
2024-01-05 14:09:55,91
2024-01-05 14:09:56,91
2024-01-05 14:09:57,91
2024-01-05 14:09:58,91
2024-01-05 14:09:59,91
2024-01-05 14:10:00,92
2024-01-05 14:10:01,92
2024-01-05 14:10:02,92
2024-01-05 14:10:03,92
2024-01-05 14:10:04,92
2024-01-05 14:10:05,89
2024-01-05 14:10:06,89
2024-01-05 14:10:07,89
2024-01-05 14:10:08,89
2024-01-05 14:10:09,89
2024-01-05 14:10:10,87
2024-01-05 14:10:11,87
2024-01-05 14:10:12,87
2024-01-05 14:10:13,87
2024-01-05 14:10:14,87
2024-01-05 14:10:15,86
2024-01-05 14:10:16,86
2024-01-05 14:10:17,86
2024-01-05 14:10:18,86
2024-01-05 14:10:19,86
2024-01-05 14:10:20,86
2024-01-05 14:10:21,86
2024-01-05 14:10:22,86
2024-01-05 14:10:23,86
2024-01-05 14:10:24,86
2024-01-05 14:10:25,86
2024-01-05 14:10:26,86
2024-01-05 14:10:27,86
2024-01-05 14:10:28,86
2024-01-05 14:10:29,86
2024-01-05 14:10:30,87
2024-01-05 14:10:31,87
2024-01-05 14:10:32,87
2024-01-05 14:10:33,87
2024-01-05 14:10:34,87
2024-01-05 14:10:35,87
2024-01-05 14:10:36,87
2024-01-05 14:10:37,87
2024-01-05 14:10:38,87
2024-01-05 14:10:39,87
2024-01-05 14:10:40,88
2024-01-05 14:10:41,88
2024-01-05 14:10:42,88
2024-01-05 14:10:43,88
2024-01-05 14:10:44,88
2024-01-05 14:10:45,88
2024-01-05 14:10:46,88
2024-01-05 14:10:47,88
