time,value
2024-01-05 15:10:00,78
2024-01-05 15:10:01,78
2024-01-05 15:10:02,78
2024-01-05 15:10:03,78
2024-01-05 15:10:04,78
2024-01-05 15:10:05,79
2024-01-05 15:10:06,79
2024-01-05 15:10:07,79
2024-01-05 15:10:08,79
2024-01-05 15:10:09,79
2024-01-05 15:10:10,79
2024-01-05 15:10:11,79
2024-01-05 15:10:12,79
2024-01-05 15:10:13,79
2024-01-05 15:10:14,79
2024-01-05 15:10:15,80
2024-01-05 15:10:16,80
2024-01-05 15:10:17,80
2024-01-05 15:10:18,80
2024-01-05 15:10:19,80
2024-01-05 15:10:20,81
2024-01-05 15:10:21,81
2024-01-05 15:10:22,81
2024-01-05 15:10:23,81
2024-01-05 15:10:24,81
2024-01-05 15:10:25,82
2024-01-05 15:10:26,82
2024-01-05 15:10:27,82
2024-01-05 15:10:28,82
2024-01-05 15:10:29,82
2024-01-05 15:10:30,83
2024-01-05 15:10:31,83
2024-01-05 15:10:32,83
2024-01-05 15:10:33,83
2024-01-05 15:10:34,83
2024-01-05 15:10:35,84
2024-01-05 15:10:36,84
2024-01-05 15:10:37,84
2024-01-05 15:10:38,84
2024-01-05 15:10:39,84
2024-01-05 15:10:40,84
2024-01-05 15:10:41,84
2024-01-05 15:10:42,84
2024-01-05 15:10:43,84
2024-01-05 15:10:44,84
2024-01-05 15:10:45,85
2024-01-05 15:10:46,85
2024-01-05 15:10:47,85
2024-01-05 15:10:48,85
2024-01-05 15:10:49,85
2024-01-05 15:10:50,86
2024-01-05 15:10:51,86
2024-01-05 15:10:52,86
2024-01-05 15:10:53,86
2024-01-05 15:10:54,86
2024-01-05 15:10:55,87
2024-01-05 15:10:56,87
2024-01-05 15:10:57,87
2024-01-05 15:10:58,87
2024-01-05 15:10:59,87
2024-01-05 15:11:00,83
2024-01-05 15:11:01,83
2024-01-05 15:11:02,83
2024-01-05 15:11:03,83
2024-01-05 15:11:04,83
2024-01-05 15:11:05,80
2024-01-05 15:11:06,80
2024-01-05 15:11:07,80
2024-01-05 15:11:08,80
2024-01-05 15:11:09,80
2024-01-05 15:11:10,80
2024-01-05 15:11:11,80
2024-01-05 15:11:12,80
2024-01-05 15:11:13,80
2024-01-05 15:11:14,80
2024-01-05 15:11:15,80
2024-01-05 15:11:16,80
2024-01-05 15:11:17,80
2024-01-05 15:11:18,80
2024-01-05 15:11:19,80
2024-01-05 15:11:20,80
2024-01-05 15:11:21,80
2024-01-05 15:11:22,80
2024-01-05 15:11:23,80
2024-01-05 15:11:24,80
2024-01-05 15:11:25,81
2024-01-05 15:11:26,81
2024-01-05 15:11:27,81
2024-01-05 15:11:28,81
2024-01-05 15:11:29,81
2024-01-05 15:11:30,84
2024-01-05 15:11:31,84
2024-01-05 15:11:32,84
2024-01-05 15:11:33,84
2024-01-05 15:11:34,84
2024-01-05 15:11:35,86
2024-01-05 15:11:36,86
2024-01-05 15:11:37,86
