time,value
2024-01-05 15:05:00,76
2024-01-05 15:05:01,76
2024-01-05 15:05:02,76
2024-01-05 15:05:03,76
2024-01-05 15:05:04,76
2024-01-05 15:05:05,76
2024-01-05 15:05:06,76
2024-01-05 15:05:07,76
2024-01-05 15:05:08,76
2024-01-05 15:05:09,76
2024-01-05 15:05:10,76
2024-01-05 15:05:11,76
2024-01-05 15:05:12,76
2024-01-05 15:05:13,76
2024-01-05 15:05:14,76
2024-01-05 15:05:15,76
2024-01-05 15:05:16,76
2024-01-05 15:05:17,76
2024-01-05 15:05:18,76
2024-01-05 15:05:19,76
2024-01-05 15:05:20,78
2024-01-05 15:05:21,78
2024-01-05 15:05:22,78
2024-01-05 15:05:23,78
2024-01-05 15:05:24,78
2024-01-05 15:05:25,77
2024-01-05 15:05:26,77
2024-01-05 15:05:27,77
2024-01-05 15:05:28,77
2024-01-05 15:05:29,77
2024-01-05 15:05:30,77
2024-01-05 15:05:31,77
2024-01-05 15:05:32,77
2024-01-05 15:05:33,77
2024-01-05 15:05:34,77
2024-01-05 15:05:35,78
2024-01-05 15:05:36,78
2024-01-05 15:05:37,78
2024-01-05 15:05:38,78
2024-01-05 15:05:39,78
2024-01-05 15:05:40,78
2024-01-05 15:05:41,78
2024-01-05 15:05:42,78
2024-01-05 15:05:43,78
2024-01-05 15:05:44,78
2024-01-05 15:05:45,79
2024-01-05 15:05:46,79
2024-01-05 15:05:47,79
2024-01-05 15:05:48,79
2024-01-05 15:05:49,79
2024-01-05 15:05:50,79
2024-01-05 15:05:51,79
2024-01-05 15:05:52,79
2024-01-05 15:05:53,79
2024-01-05 15:05:54,79
2024-01-05 15:05:55,79
2024-01-05 15:05:56,79
2024-01-05 15:05:57,79
2024-01-05 15:05:58,79
2024-01-05 15:05:59,79
2024-01-05 15:06:00,79
2024-01-05 15:06:01,79
2024-01-05 15:06:02,79
2024-01-05 15:06:03,79
2024-01-05 15:06:04,79
2024-01-05 15:06:05,78
2024-01-05 15:06:06,78
2024-01-05 15:06:07,78
2024-01-05 15:06:08,78
2024-01-05 15:06:09,78
2024-01-05 15:06:10,78
2024-01-05 15:06:11,78
2024-01-05 15:06:12,78
2024-01-05 15:06:13,78
2024-01-05 15:06:14,78
2024-01-05 15:06:15,77
2024-01-05 15:06:16,77
2024-01-05 15:06:17,77
2024-01-05 15:06:18,77
2024-01-05 15:06:19,77
2024-01-05 15:06:20,74
2024-01-05 15:06:21,74
2024-01-05 15:06:22,74
2024-01-05 15:06:23,74
2024-01-05 15:06:24,74
2024-01-05 15:06:25,74
2024-01-05 15:06:26,74
2024-01-05 15:06:27,74
2024-01-05 15:06:28,74
2024-01-05 15:06:29,74
2024-01-05 15:06:30,71
