time,value
2024-01-05 15:01:00,101
2024-01-05 15:01:01,101
2024-01-05 15:01:02,101
2024-01-05 15:01:03,101
2024-01-05 15:01:04,101
2024-01-05 15:01:05,90
2024-01-05 15:01:06,90
2024-01-05 15:01:07,90
2024-01-05 15:01:08,90
2024-01-05 15:01:09,90
2024-01-05 15:01:10,87
2024-01-05 15:01:11,87
2024-01-05 15:01:12,87
2024-01-05 15:01:13,87
2024-01-05 15:01:14,87
2024-01-05 15:01:15,88
2024-01-05 15:01:16,88
2024-01-05 15:01:17,88
2024-01-05 15:01:18,88
2024-01-05 15:01:19,88
2024-01-05 15:01:20,90
2024-01-05 15:01:21,90
2024-01-05 15:01:22,90
2024-01-05 15:01:23,90
2024-01-05 15:01:24,90
2024-01-05 15:01:25,91
2024-01-05 15:01:26,91
2024-01-05 15:01:27,91
2024-01-05 15:01:28,91
2024-01-05 15:01:29,91
2024-01-05 15:01:30,92
2024-01-05 15:01:31,92
2024-01-05 15:01:32,92
2024-01-05 15:01:33,92
2024-01-05 15:01:34,92
2024-01-05 15:01:35,98
2024-01-05 15:01:36,98
2024-01-05 15:01:37,98
2024-01-05 15:01:38,98
2024-01-05 15:01:39,98
2024-01-05 15:01:40,98
2024-01-05 15:01:41,98
2024-01-05 15:01:42,98
2024-01-05 15:01:43,98
2024-01-05 15:01:44,98
2024-01-05 15:01:45,90
2024-01-05 15:01:46,90
2024-01-05 15:01:47,90
2024-01-05 15:01:48,90
2024-01-05 15:01:49,90
2024-01-05 15:01:50,88
2024-01-05 15:01:51,88
2024-01-05 15:01:52,88
2024-01-05 15:01:53,88
2024-01-05 15:01:54,88
2024-01-05 15:01:55,85
2024-01-05 15:01:56,85
2024-01-05 15:01:57,85
2024-01-05 15:01:58,85
2024-01-05 15:01:59,85
2024-01-05 15:02:00,77
2024-01-05 15:02:01,77
2024-01-05 15:02:02,77
2024-01-05 15:02:03,77
2024-01-05 15:02:04,77
2024-01-05 15:02:05,75
2024-01-05 15:02:06,75
2024-01-05 15:02:07,75
2024-01-05 15:02:08,75
2024-01-05 15:02:09,75
2024-01-05 15:02:10,74
2024-01-05 15:02:11,74
2024-01-05 15:02:12,74
2024-01-05 15:02:13,74
2024-01-05 15:02:14,74
2024-01-05 15:02:15,75
2024-01-05 15:02:16,75
2024-01-05 15:02:17,75
2024-01-05 15:02:18,75
2024-01-05 15:02:19,75
2024-01-05 15:02:20,76
2024-01-05 15:02:21,76
2024-01-05 15:02:22,76
2024-01-05 15:02:23,76
2024-01-05 15:02:24,76
2024-01-05 15:02:25,76
2024-01-05 15:02:26,76
2024-01-05 15:02:27,76
2024-01-05 15:02:28,76
2024-01-05 15:02:29,76
2024-01-05 15:02:30,76
2024-01-05 15:02:31,76
2024-01-05 15:02:32,76
2024-01-05 15:02:33,76
2024-01-05 15:02:34,76
2024-01-05 15:02:35,76
2024-01-05 15:02:36,76
2024-01-05 15:02:37,76
2024-01-05 15:02:38,76
2024-01-05 15:02:39,76
2024-01-05 15:02:40,77
2024-01-05 15:02:41,77
2024-01-05 15:02:42,77
2024-01-05 15:02:43,77
2024-01-05 15:02:44,77
2024-01-05 15:02:45,77
2024-01-05 15:02:46,77
2024-01-05 15:02:47,77
2024-01-05 15:02:48,77
2024-01-05 15:02:49,77
2024-01-05 15:02:50,77
2024-01-05 15:02:51,77
2024-01-05 15:02:52,77
2024-01-05 15:02:53,77
2024-01-05 15:02:54,77
2024-01-05 15:02:55,78
2024-01-05 15:02:56,78
2024-01-05 15:02:57,78
2024-01-05 15:02:58,78
2024-01-05 15:02:59,78
2024-01-05 15:03:00,78
2024-01-05 15:03:01,78
2024-01-05 15:03:02,78
2024-01-05 15:03:03,78
2024-01-05 15:03:04,78
2024-01-05 15:03:05,78
2024-01-05 15:03:06,78
2024-01-05 15:03:07,78
2024-01-05 15:03:08,78
2024-01-05 15:03:09,78
2024-01-05 15:03:10,78
2024-01-05 15:03:11,78
2024-01-05 15:03:12,78
2024-01-05 15:03:13,78
2024-01-05 15:03:14,78
2024-01-05 15:03:15,77
2024-01-05 15:03:16,77
2024-01-05 15:03:17,77
2024-01-05 15:03:18,77
2024-01-05 15:03:19,77
2024-01-05 15:03:20,76
2024-01-05 15:03:21,76
2024-01-05 15:03:22,76
2024-01-05 15:03:23,76
2024-01-05 15:03:24,76
2024-01-05 15:03:25,76
2024-01-05 15:03:26,76
2024-01-05 15:03:27,76
2024-01-05 15:03:28,76
2024-01-05 15:03:29,76
2024-01-05 15:03:30,76
2024-01-05 15:03:31,76
2024-01-05 15:03:32,76
2024-01-05 15:03:33,76
2024-01-05 15:03:34,76
2024-01-05 15:03:35,76
2024-01-05 15:03:36,76
2024-01-05 15:03:37,76
2024-01-05 15:03:38,76
2024-01-05 15:03:39,76
2024-01-05 15:03:40,76
2024-01-05 15:03:41,76
2024-01-05 15:03:42,76
2024-01-05 15:03:43,76
2024-01-05 15:03:44,76
2024-01-05 15:03:45,76
2024-01-05 15:03:46,76
2024-01-05 15:03:47,76
2024-01-05 15:03:48,76
2024-01-05 15:03:49,76
2024-01-05 15:03:50,76
2024-01-05 15:03:51,76
2024-01-05 15:03:52,76
2024-01-05 15:03:53,76
2024-01-05 15:03:54,76
2024-01-05 15:03:55,74
2024-01-05 15:03:56,74
2024-01-05 15:03:57,74
2024-01-05 15:03:58,74
2024-01-05 15:03:59,74
2024-01-05 15:04:00,75
2024-01-05 15:04:01,75
2024-01-05 15:04:02,75
2024-01-05 15:04:03,75
2024-01-05 15:04:04,75
2024-01-05 15:04:05,76
2024-01-05 15:04:06,76
2024-01-05 15:04:07,76
2024-01-05 15:04:08,76
2024-01-05 15:04:09,76
2024-01-05 15:04:10,75
2024-01-05 15:04:11,75
2024-01-05 15:04:12,75
2024-01-05 15:04:13,75
2024-01-05 15:04:14,75
2024-01-05 15:04:15,75
2024-01-05 15:04:16,75
2024-01-05 15:04:17,75
2024-01-05 15:04:18,75
2024-01-05 15:04:19,75
2024-01-05 15:04:20,75
2024-01-05 15:04:21,75
2024-01-05 15:04:22,75
2024-01-05 15:04:23,75
2024-01-05 15:04:24,75
2024-01-05 15:04:25,75
2024-01-05 15:04:26,75
2024-01-05 15:04:27,75
2024-01-05 15:04:28,75
2024-01-05 15:04:29,75
2024-01-05 15:04:30,76
2024-01-05 15:04:31,76
2024-01-05 15:04:32,76
