time,value
2024-01-05 15:14:00,79
2024-01-05 15:14:01,79
2024-01-05 15:14:02,79
2024-01-05 15:14:03,79
2024-01-05 15:14:04,79
2024-01-05 15:14:05,80
2024-01-05 15:14:06,80
2024-01-05 15:14:07,80
2024-01-05 15:14:08,80
2024-01-05 15:14:09,80
2024-01-05 15:14:10,80
2024-01-05 15:14:11,80
2024-01-05 15:14:12,80
2024-01-05 15:14:13,80
2024-01-05 15:14:14,80
2024-01-05 15:14:15,80
2024-01-05 15:14:16,80
2024-01-05 15:14:17,80
2024-01-05 15:14:18,80
2024-01-05 15:14:19,80
2024-01-05 15:14:20,80
2024-01-05 15:14:21,80
2024-01-05 15:14:22,80
2024-01-05 15:14:23,80
2024-01-05 15:14:24,80
2024-01-05 15:14:25,81
2024-01-05 15:14:26,81
2024-01-05 15:14:27,81
2024-01-05 15:14:28,81
2024-01-05 15:14:29,81
2024-01-05 15:14:30,79
2024-01-05 15:14:31,79
2024-01-05 15:14:32,79
2024-01-05 15:14:33,79
2024-01-05 15:14:34,79
2024-01-05 15:14:35,80
2024-01-05 15:14:36,80
2024-01-05 15:14:37,80
2024-01-05 15:14:38,80
2024-01-05 15:14:39,80
2024-01-05 15:14:40,82
2024-01-05 15:14:41,82
2024-01-05 15:14:42,82
2024-01-05 15:14:43,82
2024-01-05 15:14:44,82
2024-01-05 15:14:45,82
2024-01-05 15:14:46,82
2024-01-05 15:14:47,82
2024-01-05 15:14:48,82
2024-01-05 15:14:49,82
2024-01-05 15:14:50,84
2024-01-05 15:14:51,84
2024-01-05 15:14:52,84
2024-01-05 15:14:53,84
2024-01-05 15:14:54,84
2024-01-05 15:14:55,85
2024-01-05 15:14:56,85
2024-01-05 15:14:57,85
2024-01-05 15:14:58,85
2024-01-05 15:14:59,85
2024-01-05 15:15:00,85
2024-01-05 15:15:01,85
2024-01-05 15:15:02,85
2024-01-05 15:15:03,85
2024-01-05 15:15:04,85
2024-01-05 15:15:05,85
2024-01-05 15:15:06,85
2024-01-05 15:15:07,85
2024-01-05 15:15:08,85
2024-01-05 15:15:09,85
2024-01-05 15:15:10,85
2024-01-05 15:15:11,85
2024-01-05 15:15:12,85
2024-01-05 15:15:13,85
2024-01-05 15:15:14,85
2024-01-05 15:15:15,85
2024-01-05 15:15:16,85
2024-01-05 15:15:17,85
2024-01-05 15:15:18,85
2024-01-05 15:15:19,85
2024-01-05 15:15:20,85
2024-01-05 15:15:21,85
2024-01-05 15:15:22,85
2024-01-05 15:15:23,85
2024-01-05 15:15:24,85
2024-01-05 15:15:25,85
2024-01-05 15:15:26,85
2024-01-05 15:15:27,85
2024-01-05 15:15:28,85
2024-01-05 15:15:29,85
2024-01-05 15:15:30,84
2024-01-05 15:15:31,84
2024-01-05 15:15:32,84
2024-01-05 15:15:33,84
2024-01-05 15:15:34,84
2024-01-05 15:15:35,84
2024-01-05 15:15:36,84
2024-01-05 15:15:37,84
2024-01-05 15:15:38,84
2024-01-05 15:15:39,84
2024-01-05 15:15:40,84
2024-01-05 15:15:41,84
2024-01-05 15:15:42,84
2024-01-05 15:15:43,84
2024-01-05 15:15:44,84
2024-01-05 15:15:45,85
2024-01-05 15:15:46,85
2024-01-05 15:15:47,85
2024-01-05 15:15:48,85
2024-01-05 15:15:49,85
2024-01-05 15:15:50,86
2024-01-05 15:15:51,86
2024-01-05 15:15:52,86
2024-01-05 15:15:53,86
2024-01-05 15:15:54,86
2024-01-05 15:15:55,85
2024-01-05 15:15:56,85
2024-01-05 15:15:57,85
2024-01-05 15:15:58,85
2024-01-05 15:15:59,85
2024-01-05 15:16:00,85
2024-01-05 15:16:01,85
2024-01-05 15:16:02,85
2024-01-05 15:16:03,85
2024-01-05 15:16:04,85
2024-01-05 15:16:05,85
2024-01-05 15:16:06,85
2024-01-05 15:16:07,85
2024-01-05 15:16:08,85
2024-01-05 15:16:09,85
2024-01-05 15:16:10,86
2024-01-05 15:16:11,86
2024-01-05 15:16:12,86
2024-01-05 15:16:13,86
2024-01-05 15:16:14,86
2024-01-05 15:16:15,87
2024-01-05 15:16:16,87
2024-01-05 15:16:17,87
2024-01-05 15:16:18,87
2024-01-05 15:16:19,87
2024-01-05 15:16:20,87
2024-01-05 15:16:21,87
2024-01-05 15:16:22,87
2024-01-05 15:16:23,87
2024-01-05 15:16:24,87
2024-01-05 15:16:25,87
2024-01-05 15:16:26,87
2024-01-05 15:16:27,87
2024-01-05 15:16:28,87
2024-01-05 15:16:29,87
2024-01-05 15:16:30,87
