time,value
2024-01-05 14:43:00,73
2024-01-05 14:43:01,74
2024-01-05 14:43:02,74
2024-01-05 14:43:03,74
2024-01-05 14:43:04,74
2024-01-05 14:43:05,74
2024-01-05 14:43:06,74
2024-01-05 14:43:07,74
2024-01-05 14:43:08,74
2024-01-05 14:43:09,74
2024-01-05 14:43:10,74
2024-01-05 14:43:11,74
2024-01-05 14:43:12,74
2024-01-05 14:43:13,74
2024-01-05 14:43:14,74
2024-01-05 14:43:15,74
2024-01-05 14:43:16,74
2024-01-05 14:43:17,74
2024-01-05 14:43:18,74
2024-01-05 14:43:19,74
2024-01-05 14:43:20,74
2024-01-05 14:43:21,74
2024-01-05 14:43:22,74
2024-01-05 14:43:23,74
2024-01-05 14:43:24,74
2024-01-05 14:43:25,74
2024-01-05 14:43:26,75
2024-01-05 14:43:27,75
2024-01-05 14:43:28,75
2024-01-05 14:43:29,75
2024-01-05 14:43:30,75
2024-01-05 14:43:31,75
2024-01-05 14:43:32,75
2024-01-05 14:43:33,75
2024-01-05 14:43:34,75
2024-01-05 14:43:35,75
2024-01-05 14:43:36,76
2024-01-05 14:43:37,76
2024-01-05 14:43:38,76
2024-01-05 14:43:39,76
2024-01-05 14:43:40,76
2024-01-05 14:43:41,76
2024-01-05 14:43:42,76
2024-01-05 14:43:43,76
2024-01-05 14:43:44,76
2024-01-05 14:43:45,76
2024-01-05 14:43:46,76
2024-01-05 14:43:47,76
2024-01-05 14:43:48,76
2024-01-05 14:43:49,76
2024-01-05 14:43:50,76
2024-01-05 14:43:51,76
2024-01-05 14:43:52,76
2024-01-05 14:43:53,76
2024-01-05 14:43:54,76
2024-01-05 14:43:55,76
2024-01-05 14:43:56,76
2024-01-05 14:43:57,76
2024-01-05 14:43:58,76
2024-01-05 14:43:59,76
2024-01-05 14:44:00,76
2024-01-05 14:44:01,77
2024-01-05 14:44:02,77
2024-01-05 14:44:03,77
2024-01-05 14:44:04,77
2024-01-05 14:44:05,77
2024-01-05 14:44:06,77
2024-01-05 14:44:07,77
2024-01-05 14:44:08,77
2024-01-05 14:44:09,77
2024-01-05 14:44:10,77
2024-01-05 14:44:11,78
2024-01-05 14:44:12,78
2024-01-05 14:44:13,78
2024-01-05 14:44:14,78
2024-01-05 14:44:15,78
2024-01-05 14:44:16,79
2024-01-05 14:44:17,79
2024-01-05 14:44:18,79
2024-01-05 14:44:19,79
2024-01-05 14:44:20,79
2024-01-05 14:44:21,79
2024-01-05 14:44:22,79
2024-01-05 14:44:23,79
2024-01-05 14:44:24,79
2024-01-05 14:44:25,79
2024-01-05 14:44:26,79
2024-01-05 14:44:27,79
2024-01-05 14:44:28,79
2024-01-05 14:44:29,79
2024-01-05 14:44:30,79
2024-01-05 14:44:31,80
2024-01-05 14:44:32,80
2024-01-05 14:44:33,80
2024-01-05 14:44:34,80
2024-01-05 14:44:35,80
2024-01-05 14:44:36,79
2024-01-05 14:44:37,79
2024-01-05 14:44:38,79
