time,value
2024-01-05 14:39:00,96
2024-01-05 14:39:01,94
2024-01-05 14:39:02,94
2024-01-05 14:39:03,94
2024-01-05 14:39:04,94
2024-01-05 14:39:05,94
2024-01-05 14:39:06,87
2024-01-05 14:39:07,87
2024-01-05 14:39:08,87
2024-01-05 14:39:09,87
2024-01-05 14:39:10,87
2024-01-05 14:39:11,87
2024-01-05 14:39:12,87
2024-01-05 14:39:13,87
2024-01-05 14:39:14,87
2024-01-05 14:39:15,87
2024-01-05 14:39:16,87
2024-01-05 14:39:17,87
2024-01-05 14:39:18,87
2024-01-05 14:39:19,87
2024-01-05 14:39:20,87
2024-01-05 14:39:21,87
2024-01-05 14:39:22,87
2024-01-05 14:39:23,87
2024-01-05 14:39:24,87
2024-01-05 14:39:25,87
2024-01-05 14:39:26,84
2024-01-05 14:39:27,84
2024-01-05 14:39:28,84
2024-01-05 14:39:29,84
2024-01-05 14:39:30,84
2024-01-05 14:39:31,84
2024-01-05 14:39:32,84
2024-01-05 14:39:33,84
2024-01-05 14:39:34,84
2024-01-05 14:39:35,84
2024-01-05 14:39:36,84
2024-01-05 14:39:37,84
2024-01-05 14:39:38,84
2024-01-05 14:39:39,84
2024-01-05 14:39:40,84
2024-01-05 14:39:41,84
2024-01-05 14:39:42,84
2024-01-05 14:39:43,84
2024-01-05 14:39:44,84
2024-01-05 14:39:45,84
2024-01-05 14:39:46,84
2024-01-05 14:39:47,84
2024-01-05 14:39:48,84
2024-01-05 14:39:49,84
2024-01-05 14:39:50,84
2024-01-05 14:39:51,84
2024-01-05 14:39:52,84
2024-01-05 14:39:53,84
2024-01-05 14:39:54,84
2024-01-05 14:39:55,84
2024-01-05 14:39:56,84
2024-01-05 14:39:57,84
2024-01-05 14:39:58,84
2024-01-05 14:39:59,84
2024-01-05 14:40:00,84
2024-01-05 14:40:01,84
2024-01-05 14:40:02,84
2024-01-05 14:40:03,84
2024-01-05 14:40:04,84
2024-01-05 14:40:05,84
2024-01-05 14:40:06,84
2024-01-05 14:40:07,84
2024-01-05 14:40:08,84
2024-01-05 14:40:09,84
2024-01-05 14:40:10,84
2024-01-05 14:40:11,84
2024-01-05 14:40:12,84
2024-01-05 14:40:13,84
2024-01-05 14:40:14,84
2024-01-05 14:40:15,84
2024-01-05 14:40:16,84
2024-01-05 14:40:17,84
2024-01-05 14:40:18,84
2024-01-05 14:40:19,84
2024-01-05 14:40:20,84
2024-01-05 14:40:21,84
2024-01-05 14:40:22,84
2024-01-05 14:40:23,84
2024-01-05 14:40:24,84
2024-01-05 14:40:25,84
2024-01-05 14:40:26,84
2024-01-05 14:40:27,84
2024-01-05 14:40:28,84
2024-01-05 14:40:29,84
2024-01-05 14:40:30,84
2024-01-05 14:40:31,84
2024-01-05 14:40:32,84
2024-01-05 14:40:33,84
2024-01-05 14:40:34,84
2024-01-05 14:40:35,84
2024-01-05 14:40:36,84
2024-01-05 14:40:37,84
2024-01-05 14:40:38,84
2024-01-05 14:40:39,84
2024-01-05 14:40:40,84
2024-01-05 14:40:41,83
2024-01-05 14:40:42,83
2024-01-05 14:40:43,83
2024-01-05 14:40:44,83
2024-01-05 14:40:45,83
2024-01-05 14:40:46,83
2024-01-05 14:40:47,83
2024-01-05 14:40:48,83
2024-01-05 14:40:49,83
2024-01-05 14:40:50,83
2024-01-05 14:40:51,83
2024-01-05 14:40:52,83
2024-01-05 14:40:53,83
2024-01-05 14:40:54,83
2024-01-05 14:40:55,83
2024-01-05 14:40:56,84
2024-01-05 14:40:57,84
2024-01-05 14:40:58,84
2024-01-05 14:40:59,84
2024-01-05 14:41:00,84
2024-01-05 14:41:01,84
2024-01-05 14:41:02,84
2024-01-05 14:41:03,84
2024-01-05 14:41:04,84
2024-01-05 14:41:05,84
2024-01-05 14:41:06,84
2024-01-05 14:41:07,84
2024-01-05 14:41:08,84
2024-01-05 14:41:09,84
2024-01-05 14:41:10,84
2024-01-05 14:41:11,86
2024-01-05 14:41:12,86
2024-01-05 14:41:13,86
2024-01-05 14:41:14,86
2024-01-05 14:41:15,86
2024-01-05 14:41:16,86
2024-01-05 14:41:17,86
2024-01-05 14:41:18,86
2024-01-05 14:41:19,86
2024-01-05 14:41:20,86
2024-01-05 14:41:21,86
2024-01-05 14:41:22,86
2024-01-05 14:41:23,86
2024-01-05 14:41:24,86
2024-01-05 14:41:25,86
2024-01-05 14:41:26,84
2024-01-05 14:41:27,84
2024-01-05 14:41:28,84
2024-01-05 14:41:29,84
2024-01-05 14:41:30,84
2024-01-05 14:41:31,77
2024-01-05 14:41:32,77
2024-01-05 14:41:33,77
2024-01-05 14:41:34,77
2024-01-05 14:41:35,77
2024-01-05 14:41:36,76
2024-01-05 14:41:37,76
2024-01-05 14:41:38,76
2024-01-05 14:41:39,76
2024-01-05 14:41:40,76
2024-01-05 14:41:41,74
2024-01-05 14:41:42,74
2024-01-05 14:41:43,74
2024-01-05 14:41:44,74
2024-01-05 14:41:45,74
2024-01-05 14:41:46,73
2024-01-05 14:41:47,73
2024-01-05 14:41:48,73
2024-01-05 14:41:49,73
2024-01-05 14:41:50,73
2024-01-05 14:41:51,72
2024-01-05 14:41:52,72
2024-01-05 14:41:53,72
2024-01-05 14:41:54,72
2024-01-05 14:41:55,72
2024-01-05 14:41:56,71
2024-01-05 14:41:57,71
2024-01-05 14:41:58,71
2024-01-05 14:41:59,71
2024-01-05 14:42:00,71
2024-01-05 14:42:01,70
2024-01-05 14:42:02,70
2024-01-05 14:42:03,70
2024-01-05 14:42:04,70
2024-01-05 14:42:05,70
2024-01-05 14:42:06,71
2024-01-05 14:42:07,71
2024-01-05 14:42:08,71
2024-01-05 14:42:09,71
2024-01-05 14:42:10,71
