time,value
2024-01-05 14:54:00,62
2024-01-05 14:54:01,62
2024-01-05 14:54:02,62
2024-01-05 14:54:03,62
2024-01-05 14:54:04,62
2024-01-05 14:54:05,62
2024-01-05 14:54:06,62
2024-01-05 14:54:07,62
2024-01-05 14:54:08,62
2024-01-05 14:54:09,62
2024-01-05 14:54:10,62
2024-01-05 14:54:11,62
2024-01-05 14:54:12,62
2024-01-05 14:54:13,62
2024-01-05 14:54:14,62
2024-01-05 14:54:15,64
2024-01-05 14:54:16,64
2024-01-05 14:54:17,64
2024-01-05 14:54:18,64
2024-01-05 14:54:19,64
2024-01-05 14:54:20,65
2024-01-05 14:54:21,65
2024-01-05 14:54:22,65
2024-01-05 14:54:23,65
2024-01-05 14:54:24,65
2024-01-05 14:54:25,65
2024-01-05 14:54:26,65
2024-01-05 14:54:27,65
2024-01-05 14:54:28,65
2024-01-05 14:54:29,65
2024-01-05 14:54:30,65
2024-01-05 14:54:31,65
2024-01-05 14:54:32,65
2024-01-05 14:54:33,65
2024-01-05 14:54:34,65
2024-01-05 14:54:35,65
2024-01-05 14:54:36,65
2024-01-05 14:54:37,65
2024-01-05 14:54:38,65
2024-01-05 14:54:39,65
2024-01-05 14:54:40,65
2024-01-05 14:54:41,65
2024-01-05 14:54:42,65
2024-01-05 14:54:43,65
2024-01-05 14:54:44,65
2024-01-05 14:54:45,65
2024-01-05 14:54:46,65
2024-01-05 14:54:47,65
2024-01-05 14:54:48,65
2024-01-05 14:54:49,65
2024-01-05 14:54:50,66
2024-01-05 14:54:51,66
2024-01-05 14:54:52,66
2024-01-05 14:54:53,66
2024-01-05 14:54:54,66
2024-01-05 14:54:55,66
2024-01-05 14:54:56,66
2024-01-05 14:54:57,66
2024-01-05 14:54:58,66
2024-01-05 14:54:59,66
2024-01-05 14:55:00,66
2024-01-05 14:55:01,66
2024-01-05 14:55:02,66
2024-01-05 14:55:03,66
2024-01-05 14:55:04,66
2024-01-05 14:55:05,66
2024-01-05 14:55:06,66
2024-01-05 14:55:07,66
2024-01-05 14:55:08,66
2024-01-05 14:55:09,66
2024-01-05 14:55:10,66
2024-01-05 14:55:11,66
2024-01-05 14:55:12,66
2024-01-05 14:55:13,66
2024-01-05 14:55:14,66
2024-01-05 14:55:15,66
2024-01-05 14:55:16,66
2024-01-05 14:55:17,66
2024-01-05 14:55:18,66
2024-01-05 14:55:19,66
2024-01-05 14:55:20,66
2024-01-05 14:55:21,66
2024-01-05 14:55:22,66
2024-01-05 14:55:23,66
2024-01-05 14:55:24,66
2024-01-05 14:55:25,66
2024-01-05 14:55:26,66
2024-01-05 14:55:27,66
2024-01-05 14:55:28,66
2024-01-05 14:55:29,66
2024-01-05 14:55:30,65
2024-01-05 14:55:31,65
2024-01-05 14:55:32,65
2024-01-05 14:55:33,65
2024-01-05 14:55:34,65
2024-01-05 14:55:35,65
2024-01-05 14:55:36,65
2024-01-05 14:55:37,65
2024-01-05 14:55:38,65
2024-01-05 14:55:39,65
2024-01-05 14:55:40,65
2024-01-05 14:55:41,65
2024-01-05 14:55:42,65
2024-01-05 14:55:43,65
2024-01-05 14:55:44,65
2024-01-05 14:55:45,65
2024-01-05 14:55:46,65
2024-01-05 14:55:47,65
2024-01-05 14:55:48,65
2024-01-05 14:55:49,65
2024-01-05 14:55:50,65
2024-01-05 14:55:51,65
2024-01-05 14:55:52,65
2024-01-05 14:55:53,65
2024-01-05 14:55:54,65
2024-01-05 14:55:55,65
2024-01-05 14:55:56,65
2024-01-05 14:55:57,65
2024-01-05 14:55:58,65
2024-01-05 14:55:59,65
2024-01-05 14:56:00,65
2024-01-05 14:56:01,65
2024-01-05 14:56:02,65
2024-01-05 14:56:03,65
2024-01-05 14:56:04,65
2024-01-05 14:56:05,63
2024-01-05 14:56:06,63
2024-01-05 14:56:07,63
2024-01-05 14:56:08,63
2024-01-05 14:56:09,63
2024-01-05 14:56:10,61
2024-01-05 14:56:11,61
2024-01-05 14:56:12,61
2024-01-05 14:56:13,61
2024-01-05 14:56:14,61
2024-01-05 14:56:15,61
2024-01-05 14:56:16,61
2024-01-05 14:56:17,61
2024-01-05 14:56:18,61
2024-01-05 14:56:19,61
2024-01-05 14:56:20,61
2024-01-05 14:56:21,61
2024-01-05 14:56:22,61
2024-01-05 14:56:23,61
2024-01-05 14:56:24,61
2024-01-05 14:56:25,61
2024-01-05 14:56:26,61
2024-01-05 14:56:27,61
2024-01-05 14:56:28,61
2024-01-05 14:56:29,61
2024-01-05 14:56:30,63
2024-01-05 14:56:31,63
2024-01-05 14:56:32,63
2024-01-05 14:56:33,63
2024-01-05 14:56:34,63
2024-01-05 14:56:35,63
2024-01-05 14:56:36,63
2024-01-05 14:56:37,63
2024-01-05 14:56:38,63
2024-01-05 14:56:39,63
2024-01-05 14:56:40,63
2024-01-05 14:56:41,63
2024-01-05 14:56:42,63
2024-01-05 14:56:43,63
2024-01-05 14:56:44,63
